API_PARAMETER,TYPE,DESCRIPTION
{accountName},[string],Thenameoftheaccount
{categoryGuid},[string],Thegloballyuniqueidentifierofthecategory
{classificationName},[string],Thenameoftheclassification
{classificationRuleName},[string],Nameoftheclassificationrule
{dataSource},[string],Specifyadatasource(AzureBlobStorage|aws|AzureDataLakeStorageGen2)
{dataSourceName},[string],Nameofthedatasource
{dataSourceType},[string],Typeofdatasource
{depth},[integer],Thenumberofhopsforlineage[default:3]
{direction},[string],Thedirectionofthelineagewhichcouldbe:INPUT:OUTPUT:BOTH[default:BOTH]
{extendedInfo},[boolean],Limitswhetherincludesextendedinformation[default:false]
{extInfo},[boolean],extInfo[default:false]
{facets-file},[string],Filepathtoafacetsjsonfile
{fileType},[string],Specifyafiletype(csv|avro|parquet|json|snappy|pptx|docx|xlsx)[default:csv]
{filter-file},[string],Filepathtoafilterjsonfile
{glossaryGuid},[string],Thegloballyuniqueidentifierforglossary
{glossaryName},[string],Thenameoftheglossary
{groupId},[string],Thegroupidentifier
{guid},[string],GloballyUniqueIdentifier(XXXXXXXXXX-YYYYY-ZZZZZZ-AAAAAAAAAAAAAA]Format
{ignoreRelationships},[boolean],Whethertoignorerelationshipattributes[default:false]
{includeTermHierarchy},[boolean],Includetermtemplatereferences[default:false]
{includeTermTemplate},[boolean],Whethertoincludetermtemplatedef[default:false]
{keyword},[string],KeywordsToSearch
{keywords},[string],SearchByKeyword
{keyVaultName},[string],Nameofthekeyvault
{limit},[integer],Thepagesize-bydefaultthereisnopaging[default:1000]
{minExtInfo},[boolean],Whethertoreturnminimalinformationforreferredentities[default:false]
{name},[string],Thenameoftheattribute
{numberOfDays},[integer],Trailingtimeperiodindays[default:30]
{offset},[integer],Offsetforpaginationpurpose[default:0]
{operationGuid},[string],Thegloballyuniqueidentifierforasyncoperation/job
{payload-file},[string],FilepathtoavalidJSONdocument
{privateEndpointConnectionName},[string],Thenameoftheprivateendpointconnection
{purviewName},[string],AzurePurviewaccountname
{qualifiedName},[string],Thequalifiednameoftheentity
{resourceGroupName},[string],Thenameoftheresourcegroup
{runId},[string],Theuniqueidentifieroftherun
{scanName},[string],Nameofthescan
{scanRulesetName},[string],Nameofthescanruleset
{scope},[string],ThescopeobjectID(egsubIDortenantID)
{scopeTenantId},[string],Thescopetenantinwhichthedefaultaccountisset
{scopeType},[string],Thescopewherethedefaultaccountisset(TenantorSubscription)
{sort},[string],ASCorDESC[default:ASC]
{subscriptionId},[string],ThesubscriptionID
{takeTopCount},[integer],Specifythemaximumnumberofrecordstoreturn[default:10]
{termGuid},[string],Thegloballyuniqueidentifierforglossaryterm
{type},[string],Typedefnameassearchfilter(classification|entity|enum|relationship|struct)
{typeDefKey},[string],TypedefKey
{typeDefVal},[string],TypedefVal
{typeName},[string],Thenameofthetype
{width},[integer],Thenumberofmaxexpandingwidthinlineage[default:6]
{policyId},[string],PolicyIDForAuthZfineGrainedMetadataPolicyAPIs
{collectionName},[string],CollectionNameForAuthZfineGrainedMetadataPolicyAPIs
